radius_au,eccentricity,mass_mearths,planet_type,p_iron,p_rock,p_ice,p_gas
2.939633,0.011626,0.748850,Icy,0.049543,0.324314,0.626143,0.000000
3.401036,0.039454,0.126204,Icy,0.000000,0.250000,0.750000,0.000000
7.050013,0.033883,0.171006,Icy,0.000000,0.250000,0.750000,0.000000
7.233561,0.026167,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
19.816122,0.218917,0.017711,Icy,0.000000,0.250000,0.750000,0.000000
24.004046,0.002737,0.001513,Icy,0.000000,0.250000,0.750000,0.000000
28.341121,0.056505,0.001201,Icy,0.000000,0.250000,0.750000,0.000000
28.581132,0.036359,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
30.580695,0.009533,0.000217,Icy,0.000000,0.250000,0.749999,0.000002
33.208476,0.057391,0.001386,Icy,0.000000,0.250000,0.750000,0.000000
37.080942,0.119321,0.000059,Icy,0.000000,0.249999,0.749996,0.000006
39.028497,0.094479,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
40.570498,0.195641,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
43.309306,0.006249,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
43.606513,0.008733,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
45.115881,0.238209,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
45.291079,0.006665,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
48.131395,0.074256,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
48.316357,0.129930,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
48.685897,0.050608,0.000000,Icy,0.000000,0.000000,0.000000,1.000000
