radius_au,eccentricity,mass_mearths,planet_type,p_iron,p_rock,p_ice,p_gas, radius_km,teq_k
0.352053,0.124363,0.000235,Rocky,0.300000,0.699999,0.000000,0.000001,393.00,430.00
0.414203,0.140146,0.235969,Rocky,0.300000,0.700000,0.000000,0.000000,3938.00,396.00
0.664235,0.137910,0.235734,Rocky,0.300000,0.700000,0.000000,0.000000,3936.00,313.00
0.713839,0.087489,0.000194,Rocky,0.299999,0.699999,0.000000,0.000002,369.00,302.00
0.853129,0.132928,1.178669,Rocky,0.300000,0.700000,0.000000,0.000000,6731.00,276.00
2.114370,0.077798,0.471468,Rocky,0.300000,0.700000,0.000000,0.000000,4960.00,175.00
2.653792,0.148041,0.001452,Rocky,0.300000,0.700000,0.000000,0.000000,722.00,156.00
5.608405,0.117927,0.016616,Rocky,0.242873,0.614309,0.142819,0.000000,1626.00,108.00
7.792753,0.094681,0.032410,Icy,0.000000,0.250000,0.750000,0.000000,3694.00,74.00
12.262518,0.079644,0.060857,Icy,0.000000,0.250000,0.750000,0.000000,4557.00,59.00
30.675339,0.108872,0.085481,Icy,0.000000,0.250000,0.750000,0.000000,5103.00,37.00
46.941900,0.143053,2462.399844,Giant,0.220210,0.529524,0.047102,0.203165,138201.00,34.00
